nome,metodo,significado_chave,score_memorabilidade,score_fonetica,score_posicionamento,score_originalidade,score_medio,observacao
Aion,raiz_grega,"eternidade/era/ciclo de vida",9,9,8,7,8.25,"curto e forte; leve risco de soar tecnico/frio isolado"
Itera,raiz_latina,"jornada/caminho (iter)",8,8,9,7,8.00,"forte fit narrativo com jornada de vida"
Kairoa,raiz_grega,"momento certo (kairos)",7,7,9,8,7.75,"conceito de saude preventiva = agir no momento certo"
Duravia,blend_fonemas,"durar + via = jornada duradoura",7,7,9,8,7.75,"sem usar raizes proibidas, comunica longevidade pela jornada"
Kindrel,fonetica_moderna,"evoca kindred = parentesco/geracoes",7,7,9,8,7.75,"forte fit com multigeracional (nascimento a velhice)"
Astera,raiz_grega,"estrela (aster)",8,9,7,7,7.75,"suave, global, facil em PT/EN/ES"
Cosmora,raiz_grega,"ordem/universo (kosmos)",7,8,8,7,7.50,"soa premium e organizado"
Velora,fonetica_moderna,"invencao fonetica premium",8,9,7,6,7.50,"muito facil de pronunciar/lembrar"
Sofira,raiz_grega,"sabedoria (sophia)",7,8,7,7,7.25,"elegante, remete a inteligencia"
Vakora,raiz_nordica,"vigilia/atencao (vaka)",6,7,8,8,7.25,"fit forte com prevencao/atencao continua"
Kaelis,raiz_celta,"esbelto/moderno (caol)",7,8,7,7,7.25,"curto, moderno, neutro"
Auren,fonetica_moderna,"evoca aurum=ouro",8,8,7,6,7.25,"premium, curto, facil"
Trellis,ingles_metaforico,"estrutura de apoio ao crescimento",8,8,8,5,7.25,"metafora forte; palavra real em ingles (risco juridico a checar)"
Aevora,raiz_latina,"era/idade (aevum)",6,7,8,7,7.00,"continuidade sem soar clinico"
Viora,raiz_latina,"caminho (via)",7,8,7,6,7.00,"suave, curto"
Merisa,proto_indo_europeu,"memoria (raiz *mer-)",7,8,7,6,7.00,"remete a dados/memoria pessoal"
Fionara,raiz_celta,"sabedoria desde jovem (fionn)",6,6,8,8,7.00,"narrativa forte de crescimento ao longo da vida"
Branora,raiz_celta,"corvo/sabedoria/jornada (bran)",6,7,8,7,7.00,"jornada + inteligencia"
Zentra,fonetica_moderna,"invencao (evoca clareza/centro)",7,8,7,6,7.00,"curto, tech, claro"
Lucenta,fonetica_moderna,"evoca luz/clareza",7,8,7,6,7.00,"clareza de dados/insight"
Novum,raiz_latina,"novo (novus)",8,7,6,6,6.75,"muito curto; risco de ser generico/juridico (termo comum em patentes)"
Veraxa,raiz_latina,"verdadeiro (verax)",6,7,7,7,6.75,"remete a precisao/confianca nos dados"
Oriva,proto_indo_europeu,"origem/erguer-se",6,8,7,6,6.75,"nascimento/inicio de jornada"
Draumis,raiz_nordica,"sonho (draumr)",6,6,7,8,6.75,"aspiracional, um pouco abstrato"
Ravora,raiz_nordica,"corvo/sabedoria (hrafn)",6,7,7,7,6.75,"memoria/inteligencia"
Darava,raiz_celta,"carvalho/forca (dair)",6,7,7,7,6.75,"longevidade simbolica (carvalho) sem raiz proibida"
Nuvara,fonetica_moderna,"invencao fonetica suave",7,8,6,6,6.75,"agradavel mas menos distintivo"
Kelara,proto_indo_europeu,"crescer/elevar (*kel-)",6,7,7,6,6.50,"crescimento continuo"
Solvara,raiz_latina,"resolver (solvere)",6,7,7,6,6.50,"remete a solucao de problemas de saude"
Belora,proto_indo_europeu,"brilhar (*bhel-)",6,8,6,6,6.50,"clareza, mas generico"
Torcis,raiz_celta,"forca/status (torc)",6,7,6,7,6.50,"curto, forte, pouco obvio"
Sorenta,fonetica_moderna,"invencao (evoca serenidade)",6,7,7,6,6.50,"confianca/calma"
Solvenne,ingles_metaforico,"evoca solve=resolver",6,7,7,6,6.50,"solucao de problemas, facil"
Thallora,raiz_grega,"brotar/crescer (thallo)",6,5,8,8,6.25,"otima narrativa mas 'th' e mais dificil em PT/ES"
Ljosa,raiz_nordica,"luz (ljos)",6,6,6,7,6.25,"curto, mas grafia 'lj' pode confundir pronuncia"
Heimora,raiz_nordica,"mundo/lar (heimr)",6,6,7,6,6.25,"pertencimento global"
Ardis,raiz_celta,"elevado (ard)",6,7,6,6,6.25,"curto, neutro"
Vaelis,fonetica_moderna,"invencao fonetica suave",6,7,6,6,6.25,"agradavel, generico"
Ghelan,proto_indo_europeu,"brilhar/dourado (*ghel-)",6,5,6,7,6.00,"cluster 'gh' menos intuitivo para leigos"
Kreova,proto_indo_europeu,"crescer (*ker-)",5,6,6,6,5.75,"correto mas pouco memoravel"
Verano,proto_indo_europeu,"primavera/renovacao (*wes-r-)",6,6,6,4,5.50,"falso cognato: 'verano'=verao em espanhol, pode gerar confusao"
