nome,data_verificacao,colisao_encontrada,nivel_risco,detalhes,fontes
Aion,2026-07-31,sim,alto,"Múltiplas empresas de healthtech/preventive-health já usam 'Aion': AION HealthTech (mental health AI), AION Biosystems (remote patient monitoring), AION Labs (biotech/pharma AI), além de marcas registradas 'AION' em classes médicas.","aionhealthtech.com; aionbiosystems.com; trademarkia.com/aion-98192320"
Itera,2026-07-31,sim,alto,"Itera ASA é empresa de consultoria de TI nórdica estabelecida desde 1993, com operações em múltiplos países; há também startup 'Itera' de hardware com US$12M captados. Nome já consolidado no setor de tecnologia.","en.wikipedia.org/wiki/Itera_ASA; pitchbook.com/profiles/company/762528-97"
Kairoa,2026-07-31,sim,medio,"'Kairoa Brewing Company' é uma cervejaria conhecida em San Diego (setor não relacionado). 'Kairo' é usado por software de despacho para motoristas. Risco de confusão direto é baixo (setores distintos) mas nome já ativo publicamente.","yelp.com/biz/kairoa-brewing-company-san-diego-6; kairoengine.com"
Duravia,2026-07-31,nao,baixo,"Nenhuma empresa, app ou marca relevante encontrada com o nome exato 'Duravia' nas buscas realizadas. Resultados próximos (Duravit, Dura Automotive) são apenas foneticamente similares, setores não relacionados.","busca Google sem correspondência direta"
Kindrel,2026-07-31,sim,alto,"Já existe um app chamado 'Kindrel' publicado na Apple App Store e Google Play, com proposta quase idêntica (conectar famílias/gerações). Colisão direta de nome E conceito.","play.google.com/store/apps/details?id=com.augusttechie.kindredmobileapp; apps.apple.com/in/app/kindrel/id6755649357; kindrel.com"
Astera,2026-07-31,sim,alto,"Astera Labs é fabricante de semicondutores listado na Nasdaq (bilhões em valuation); Astera Software é empresa de integração de dados usada por Fortune 500. Nome fortemente consolidado em tecnologia.","en.wikipedia.org/wiki/Astera_Labs; astera.com/company"
Cosmora,2026-07-31,sim,medio,"Já existe app 'Cosmora' (leitura psíquica/tarot) ativo na Google Play, além de empresas registradas com o nome na Índia. Setor diferente mas nome já em uso público como app de consumo.","play.google.com/store/apps/details?id=com.zenarkflow.cosmora; cosmora.app"
Velora,2026-07-31,sim,alto,"Nome extremamente saturado: app de trading, plataforma de RH com IA, app de bem-estar para salões, app de recompensas e startup de IA para construção civil usam 'Velora' ativamente.","velora-app.net; velorahr.com; velora.ai; play.google.com/store/apps/details?id=com.app.velora"
Sofira,2026-07-31,sim,medio,"'Groupe Sofira' (imobiliária francesa) e 'Sofira.dk' (consultoria dinamarquesa) são empresas ativas com o nome exato; existe também perfil 'Sofira AI' no LinkedIn, que pode indicar uso emergente em IA.","linkedin.com/company/sofira; linkedin.com/company/sofira-ai; sofira.dk"
Vakora,2026-07-31,sim,medio,"Vakora é marca ativa de e-commerce de produtos (vakora.in) e também usada em serviço de pedidos por WhatsApp. Presença comercial real, embora fora do setor de saúde.","vakora.in; vakora.shop"
Kaelis,2026-07-31,sim,medio,"Kaelis World é empresa multinacional estabelecida (desde 1997) fornecendo produtos para companhias aéreas e ferrovias em mais de 50 países, sediada em Madrid. Setor diferente mas nome globalmente consolidado.","kaelis.world; linkedin.com/company/kaelisworld"
Auren,2026-07-31,sim,alto,"Colisão direta de setor: 'Auren' é app de IA para saúde mental/bem-estar da Elysian Labs (ativo, iOS/Android), além de Auren Health Inc, Auren Healthcare Pvt Ltd e Auren Fitness. Espaço de saúde/bem-estar já saturado com este nome.","auren.app; linkedin.com/company/auren-health-medicare; app.aurenfitness.com"
Trellis,2026-07-31,sim,alto,"Colisão direta e crítica: Trellis Health é plataforma de saúde materna com IA (gravidez/pós-parto), com app publicado, branding profissional recente e captação. Também há marca registrada TRELLIS para dispositivo médico (Covidien). Concorrente quase idêntico ao produto do usuário.","apps.apple.com/us/app/trellis-health/id6449686201; jointrellishealth.com; uspto.report/TM/76139624"
Aevora,2026-07-31,sim,medio,"Múltiplos usos ativos: empresa de cibersegurança 'Aevora', app 'Aevora' (simulador de decisões de vida com IA) e 'Aevora Technologies' (CRM/ERP/IA). Setor de tecnologia geral, não saúde diretamente, mas nome já em uso ativo por produto de IA.","aevora.com; devpost.com/software/aevora; aevoratechnologies.com"
Viora,2026-07-31,sim,alto,"Colisão direta de setor: 'Viora Health' é empresa de wellness/tecnologia para engajamento em saúde; outra 'Viora' é plataforma de bem-estar mental com IA (monitoramento emocional). Ambas no mesmo espaço do produto do usuário.","viorahealth.com; dealroom.co/companies/viora_health"
Merisa,2026-07-31,sim,baixo,"Uso predominante como nome de bebê e app pequeno de lista de desejos; 'Merisa AG' é empresa de produtos de limpeza desde 1981 (setor não relacionado). Risco de colisão direta com produto de saúde é baixo.","apps.apple.com/us/app/wishlist-maker-merisa/id6755929238; merisa.ch"
Fionara,2026-07-31,nao,baixo,"Nenhuma empresa, app ou marca relevante encontrada com o nome exato 'Fionara'. Apenas páginas genéricas de 'significado de nome'.","busca Google sem correspondência direta"
Branora,2026-07-31,nao,baixo,"Nenhuma empresa, app ou marca relevante encontrada com o nome exato 'Branora'. Resultado mais próximo ('Branana') é foneticamente distinto.","busca Google sem correspondência direta"
Zentra,2026-07-31,sim,alto,"Nome saturado: app de acesso residencial (Allegion/Zentra Access, publicado), software de gestão de academias 'Zentra', app imobiliário 'Zentra' e datalogger 'ZENTRA' (METER Group). Múltiplos produtos ativos e publicados.","zentra.co; apps.apple.com/us/app/zentra-access/id1593437290; metergroup.com/zentra-mobile-apps"
Lucenta,2026-07-31,sim,alto,"'Lucenta Solutions' é empresa de desenvolvimento de software (web/mobile) estabelecida, atuando inclusive em clientes de saúde e bem-estar. Presença global consolidada em tecnologia.","lucentasolutions.com"
Novum,2026-07-31,sim,alto,"Colisão direta de setor: NovumHealth (saúde comportamental, EUA) e Novum Pharma (farmacêutica de dermatologia) já usam o nome no setor de saúde. Há também marcas registradas 'NOVUM'.","zoominfo.com/c/novumhealth; linkedin.com/company/novum-pharma; trademarkia.com/novum-87834771"
Veraxa,2026-07-31,sim,alto,"Colisão direta e crítica: VERAXA Biotech é empresa de biotecnologia focada em terapias contra o câncer, com site ativo (veraxa.com) e acordos de licenciamento divulgados na imprensa farmacêutica.","veraxa.com; firstwordpharma.com/story/5856251"
