nome,molde,silabas,com_status,combr_status,alerta_pronuncia,data_checagem,inpi_conferir_manual,handle_conferir_manual
freasoj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:33:31,SIM,SIM
cloacus,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
laurej,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:33:31,SIM,SIM
kiesuc,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
foirel,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
cliavuj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:33:31,SIM,SIM
deuzug,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
vrienan,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
cliukel,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
traocuk,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
daipob,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
keobez,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
kounoj,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:33:31,SIM,SIM
zuacad,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
pruuvic,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
troefok,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:33:31,SIM,SIM
joepov,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:34:37,SIM,SIM
bloubod,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
friukuc,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
bleevim,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
traisek,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
suucop,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
keumeb,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
tuopab,CVVCVC_medio,2,LIVRE,LIVRE,NAO,2026-08-07T21:34:37,SIM,SIM
priujul,CVVCVC_medio,2,LIVRE,LIVRE,SIM,2026-08-07T21:34:37,SIM,SIM
