nome,colisao_encontrada,nivel_risco,detalhes
Helyon,sim,critico,"HELYXON Healthcare Solution - plataforma real de saude remota, grafia quase identica"
Selven,sim,medio,"Selven Logistics/Software - empresas reais pequenas, nome tambem usado como sobrenome"
Doryn,nao,baixo,"apenas referencias de nome de bebe (Doreen), nenhuma empresa real"
Roven,sim,medio,"proximo foneticamente de 'Raven Health', app de saude publicado"
Sofyon,nao,baixo,"proximo de 'Sofy' (QA testing empresarial), setor nao relacionado"
Kairyen,nao,baixo,"nenhuma correspondencia real encontrada"
Luven,sim,alto,"proximo de 'Lumen', wearable de saude bem financiado, e 'LUV Health' app"
Lumyon,sim,medio,"proximo de 'LumApps' (intranet) e 'Lumeon' (workflow de saude)"
Luceryn,nao,baixo,"nenhuma correspondencia real encontrada"
Fluven,nao,baixo,"apenas nomes foneticamente proximos nao relacionados (Flurry, Fluenz)"
Sereyon,nao,baixo,"nenhuma correspondencia real encontrada"
Iteryn,nao,baixo,"nenhuma correspondencia real encontrada"
Weliven,sim,medio,"proximo de 'Welive' (produtos naturais) e app 'Liven' (bem-estar)"
Beryen,nao,baixo,"nenhuma correspondencia real encontrada"
Menyven,sim,medio,"proximo de 'Meny/MENY', app de supermercado real (Noruega, 400 mil downloads)"
Kelryn,nao,baixo,"nenhuma correspondencia real encontrada"
Alvoryn,nao,baixo,"nenhuma correspondencia real encontrada"
Heimyon,nao,baixo,"nenhuma correspondencia real encontrada"
Eldveron,nao,baixo,"nenhuma correspondencia real; atencao a cluster consonantal 'ldv' (ver teste de radio)"
Runeryn,nao,baixo,"nenhuma correspondencia real encontrada"
Frodyen,nao,baixo,"nenhuma correspondencia real; leve evocacao de 'Frodo' (Senhor dos Aneis)"
Branyon,nao,baixo,"apenas sobrenome/brasao de familia, nenhuma empresa real"
Fioryn,nao,baixo,"nenhuma correspondencia real encontrada"
Luvyon,nao,baixo,"nenhuma correspondencia real relevante (Luvo Inc e setor de alimentos, distinto)"
Arvyon,sim,medio,"proximo de 'Arvion', startup Y Combinator de seguranca de software"
Kervyen,sim,medio,"proximo de 'Kerv', empresa real de apps/IA para video"
Zolryn,nao,baixo,"nenhuma correspondencia real encontrada"
Zaveryn,nao,baixo,"nenhuma correspondencia real encontrada"
Kelvion,sim,alto,"colisao com empresa industrial global real (US$1.1 bi receita, trocadores de calor)"
Nalveon,nao,baixo,"nenhuma correspondencia real encontrada"
Toryven,nao,baixo,"nenhuma correspondencia real encontrada"
Zorven,sim,medio,"colisao com agencia real 'Zorven' (Shopify/web), empresa pequena"
Zelvon,nao,baixo,"nenhuma correspondencia real encontrada"
Voryen,nao,baixo,"nenhuma correspondencia real encontrada"
Kaelryn,nao,baixo,"nenhuma correspondencia real encontrada"
Selveron,sim,medio,"proximo de 'Selvera', programa real de gestao de peso com nutricionistas (adjacente a saude)"
Coraryn,nao,baixo,"nenhuma correspondencia real encontrada"
Solaryn,nao,baixo,"nenhuma correspondencia real relevante (Solaris/Solarity Health sao nomes distintos)"
Novaryn,sim,critico,"nome saturado - multiplas empresas ativas reais (estudio de jogos, apps de musica, agencia digital, SaaS labs, marketing)"
Belaryn,nao,baixo,"nenhuma correspondencia real encontrada"
Kaloryn,sim,alto,"proximo de 'Kalori/Kalory/Kaloria', apps reais de contagem de calorias; tambem risco de soar como app fitness"
Doreven,nao,baixo,"nenhuma correspondencia relevante (Doreso encerrada em 2017, Doro e empresa distinta)"
Fluoryn,sim,medio,"proximo de 'Floryn', fintech holandesa real de emprestimos para PMEs"
Trebyon,sim,medio,"proximo de 'Treby', app real de servicos domesticos"
Nemryen,nao,baixo,"nenhuma correspondencia real encontrada"
Menryon,nao,baixo,"nenhuma correspondencia real encontrada"
Runyven,nao,baixo,"nenhuma correspondencia real encontrada"
Belveon,sim,medio,"proximo de 'Belvo', fintech relevante e bem financiada na America Latina"
