rank,nome,GBP_100,memorabilidade,musicalidade,distintividade,internacionalizacao,disponibilidade,escalabilidade,origem,significado
1,Luceryn,73.0,7,7,7,7,9,7,"latim: lucere","brilhar/clareza"
2,Branyon,73.0,7,7,7,7,9,7,"celta: bran","corvo/sabedoria/jornada"
3,Fioryn,73.0,7,7,7,7,9,7,"celta: fionn","sabedoria desde jovem"
4,Doryn,71.5,7,7,6,8,8,7,"grego: doron","dadiva/presente"
5,Runeryn,71.5,7,7,7,6,9,7,"nordico: run","saber secreto/inteligencia"
6,Zolryn,71.5,7,7,7,6,9,7,"invencao fonetica","energia/abertura forte"
7,Zaveryn,71.5,7,7,7,6,9,7,"invencao fonetica","premium global"
8,Alvoryn,70.5,6,7,7,7,9,7,"nordico: alfr","luminoso/clareza"
9,Kaelryn,70.5,7,7,6,7,9,6,"celta: caol","moderno/esbelto"
10,Sereyon,68.0,6,7,6,7,9,6,"latim: serenus","serenidade/confianca"
11,Zelvon,68.0,7,6,6,6,9,7,"invencao fonetica","curto e energetico"
12,Kairyen,66.0,6,6,6,7,9,6,"grego: kairos","momento certo"
13,Eldveron,66.0,6,6,7,6,9,6,"nordico: eldr","fogo/energia vital"
14,Sofyon,65.0,6,7,6,7,7,6,"grego: sophia","sabedoria"
15,Luvyon,65.0,6,7,6,6,8,6,"celta: lugh","versatilidade + ressonancia com 'amor/love'"
16,Fluven,64.5,6,6,6,7,8,6,"latim: fluere","fluir/continuidade"
17,Iteryn,64.5,6,6,6,6,9,6,"latim: iter","caminho/jornada"
18,Kelryn,64.5,6,6,6,6,9,6,"pie: *kel-","crescer/elevar"
19,Heimyon,64.5,6,6,6,6,9,6,"nordico: heimr","mundo/lar"
20,Nalveon,64.5,6,6,6,6,9,6,"invencao fonetica","suave/fluido"
