nome,metodo,origem_significado,observacao
Helyon,raiz_grega,"helios=sol",energia radiante
Heliven,raiz_grega,"helios=sol",variante suave
Selven,raiz_grega,"selene=lua",ciclos/ritmo natural
Selyon,raiz_grega,"selene=lua",variante
Selaryn,raiz_grega,"selene=lua",variante longa premium
Doryn,raiz_grega,"doron=dadiva",generosidade/dado como presente
Doreven,raiz_grega,"doron=dadiva",variante
Neuven,raiz_grega,"pneuma=sopro vital (grafia simplificada)",energia vital/folego
Neuryn,raiz_grega,"pneuma=sopro vital",variante
Roven,raiz_grega,"rheo=fluir",fluxo continuo de dados
Rovyen,raiz_grega,"rheo=fluir",variante
Ethryn,raiz_grega,"ethos=carater",identidade
Elpyon,raiz_grega,"elpis=esperanca",otimismo
Elpyven,raiz_grega,"elpis=esperanca",variante
Sofyon,raiz_grega,"sophia=sabedoria",inteligencia suave
Sofryn,raiz_grega,"sophia=sabedoria",variante
Kairyen,raiz_grega,"kairos=momento certo",decisao no momento certo
Nostyven,raiz_grega,"nostos=retorno/jornada",jornada de vida
Aretyn,raiz_grega,"arete=excelencia",qualidade
Luven,raiz_latina,"lumen=luz",clareza suave
Lumyon,raiz_latina,"lumen=luz",variante
Lumeven,raiz_latina,"lumen=luz",variante longa
Luceryn,raiz_latina,"lucere=brilhar",brilho/clareza
Fluven,raiz_latina,"fluere=fluir",continuidade fluida
Fluoryn,raiz_latina,"fluere=fluir",variante
Vernyl,raiz_latina,"ver=primavera",renovacao
Veryon,raiz_latina,"ver=primavera",variante
Sereyon,raiz_latina,"serenus=sereno",serenidade/confianca
Serelyn,raiz_latina,"serenus=sereno",variante premium
Ampleyn,raiz_latina,"amplus=amplo",visao ampla
Iteryn,raiz_latina,"iter=caminho",jornada
Iryven,raiz_latina,"iter=caminho",variante
Solvyen,raiz_latina,"solvere=resolver",solucao suave
Plenyon,raiz_latina,"plenus=pleno",plenitude
Weliven,raiz_pie,"*wel-=querer/vontade",proposito pessoal
Velryn,raiz_pie,"*wel-=querer/vontade",variante
Beryen,raiz_pie,"*bher-=carregar/trazer",suporte continuo
Beryon,raiz_pie,"*bher-=carregar/trazer",variante
Menyven,raiz_pie,"*men-=mente/pensar",cognicao
Menryon,raiz_pie,"*men-=mente/pensar",variante
Dyeven,raiz_pie,"*dyeu-=brilhar/ceu",luz/dia
Kelryn,raiz_pie,"*kel-=elevar/crescer",crescimento
Kelvoryn,raiz_pie,"*kel-=elevar/crescer",variante longa
Nemryen,raiz_pie,"*nem-=distribuir/organizar",organizacao de dados
Trebyon,raiz_pie,"*treb-=habitacao/lar",pertencimento
Alvoryn,raiz_nordica,"alfr=luminoso",clareza/energia
Alveryn,raiz_nordica,"alfr=luminoso",variante
Vindryn,raiz_nordica,"vindr=vento",leveza/movimento suave
Vinryen,raiz_nordica,"vindr=vento",variante
Heimyon,raiz_nordica,"heimr=mundo/lar",pertencimento global
Heimryn,raiz_nordica,"heimr=mundo/lar",variante
Eldveron,raiz_nordica,"eldr=fogo",energia vital
Elveryn,raiz_nordica,"eldr=fogo",variante
Runeryn,raiz_nordica,"run=saber secreto",inteligencia de dados
Runyven,raiz_nordica,"run=saber secreto",variante
Frodyen,raiz_nordica,"frodr=sabio",sabedoria
Solyven,raiz_nordica,"sol=sol",energia
Branyon,raiz_celta,"bran=corvo",sabedoria/jornada
Branveon,raiz_celta,"bran=corvo",variante
Fioryn,raiz_celta,"fionn=claro/sabio",crescimento e sabedoria
Fionaven,raiz_celta,"fionn=claro/sabio",variante
Luvyon,raiz_celta,"lugh=deus multifacetado",versatilidade
Luvyen,raiz_celta,"lugh=deus multifacetado",variante
Glenryn,raiz_celta,"gleann=vale",equilibrio/natureza
Arvyon,raiz_celta,"ard=alto/elevado",elevacao pessoal
Ardyven,raiz_celta,"ard=alto/elevado",variante
Torvyn,raiz_celta,"torc=forca/status",forca discreta
Kervyen,raiz_celta,"caru=amar/conectar",conexao humana
Ogmyon,raiz_celta,"ogma=conhecimento",comunicacao/conhecimento
Nevryn,raiz_celta,"nemeton=lugar sagrado",centro pessoal
Rionveon,raiz_celta,"rion=realeza",premium
Zolryn,fonetica_moderna,"invencao (abertura forte + nucleo liquido)",tech energetico
Zaveryn,fonetica_moderna,"invencao",premium global
Kelvion,fonetica_moderna,"invencao",moderno
Kalvryn,fonetica_moderna,"invencao",moderno
Nalveon,fonetica_moderna,"invencao",suave
Toryven,fonetica_moderna,"invencao",energetico
Talveon,fonetica_moderna,"invencao",suave premium
Kolveryn,fonetica_moderna,"invencao",premium
Neryven,fonetica_moderna,"invencao",fluido
Oleryn,fonetica_moderna,"invencao",suave
Belveon,fonetica_moderna,"invencao",suave
Doriven,fonetica_moderna,"invencao",fluido
Solveryn,fonetica_moderna,"invencao",confianca
Kaliven,fonetica_moderna,"invencao",moderno
Torveyn,fonetica_moderna,"invencao",energetico
Velroan,fonetica_moderna,"invencao",fluido
Anveryl,fonetica_moderna,"invencao",suave
Corivel,fonetica_moderna,"invencao",premium
Nolveryn,fonetica_moderna,"invencao",premium longo
Zeryven,fonetica_moderna,"invencao",tech energetico
Zolveon,fonetica_moderna,"invencao",tech
Kyveron,fonetica_moderna,"invencao",moderno
Nairveon,fonetica_moderna,"invencao",suave
Solaryen,fonetica_moderna,"invencao (evoca solar)",energia
Velaryn,fonetica_moderna,"invencao",suave
Aryveon,fonetica_moderna,"invencao",fluido
Ilveron,fonetica_moderna,"invencao",suave
Norveyn,fonetica_moderna,"invencao",moderno (cautela: perto de 'Nord')
Kaeryven,fonetica_moderna,"invencao",premium
Zoraven,fonetica_moderna,"invencao",energetico
Miraveon,fonetica_moderna,"invencao (cautela: raiz 'Mira' muito usada)",premium
Torilven,fonetica_moderna,"invencao",fluido
Kelmoryn,fonetica_moderna,"invencao",premium
Belaryen,fonetica_moderna,"invencao",suave
Nirveon,fonetica_moderna,"invencao",clareza
Solmeryn,fonetica_moderna,"invencao",energia solar
Kaelveon,fonetica_moderna,"invencao",moderno
Torenya,fonetica_moderna,"invencao",fluido
Velion,fonetica_moderna,"invencao curta",suave
Naryen,fonetica_moderna,"invencao curta",fluido
Kelyen,fonetica_moderna,"invencao curta",suave
Zorven,fonetica_moderna,"invencao curta",energetico
Norvel,fonetica_moderna,"invencao curta (cautela: perto de 'Nord')",moderno
Belyon,fonetica_moderna,"invencao curta",suave
Talvyn,fonetica_moderna,"invencao curta",moderno
Kaeryn,fonetica_moderna,"invencao curta",moderno
Zelvon,fonetica_moderna,"invencao curta",energetico
Silveon,fonetica_moderna,"invencao curta (evoca prata/silver)",premium
Voryen,fonetica_moderna,"invencao curta",fluido
Maryven,fonetica_moderna,"invencao curta (cautela: nome proprio Maria)",fluido
Doryven,fonetica_moderna,"invencao curta",fluido
