rank,nome,letras,silabas,origem,significado,risco_juridico,nota_100,observacao_chave
1,Luceryn,7,3,"latim: lucere","brilhar / clareza",baixo,90,"significado universal sem precisar de tradução; zero colisão encontrada"
2,Luciun,6,3,"latim: lucere (var. -iun)","brilhar / clareza (versão curta)",baixo,89,"mesmo significado do Luceryn, som mais curto e cientifico (estilo elemento quimico)"
3,Coriun,6,2,"latim: cor","coracao / nucleo / cuidado",baixo,88,"le como 'coracao/corazon' em PT/ES e como 'core' em EN ao mesmo tempo"
4,Branyon,7,3,"celtico: bran","corvo / sabedoria / jornada",baixo,86,"soa como nome de fundador/sobrenome, reforca permanencia"
5,Oxoryn,6,3,"grego: oxigenio","respiracao / vida",baixo,87,"conceito de saude essencial sem soar clinico"
6,Voltoryn,8,3,"fisica: volt","energia eletrica",baixo,84,"cobre o eixo 'energia' do briefing, mais fraco nos favoritos originais"
7,Doryn,5,2,"grego: doron","presente / dadiva",baixo,83,"caloroso, curto, tom pessoal"
8,Soleryn,7,3,"latim/grego: sol","energia solar / calor humano",baixo,82,"meio-termo entre Voltoryn (tecnico) e Doryn (pessoal)"
9,Belaryn,7,3,"PIE: *bhel-","brilhar / beleza",baixo,81,"mesma familia semantica do Luceryn; soa 'irmao' do Branyon"
10,Photeryn,8,3,"grego: foton","luz / ciencia",baixo,80,"mais 'laboratorio premium' que Luceryn"
11,Aeriun,6,3,"latim: aer","ar / respiracao / leveza (versao curta)",baixo,78,"versao -iun do Aeroryn"
12,Jordata,7,3,"portmanteau: jornada + data","a jornada de dados de saude",baixo,77,"o mais literal/autoexplicativo do grupo"
13,Terveryn,8,3,"latim: terra","escala / grandiosidade / base",baixo,76,"reforca o eixo 'global'"
14,Radieryn,8,4,"latim: radiare","radiante / luz / energia",baixo,76,"variante mais longa do Radoryn"
15,Aeroryn,7,3,"latim: aer","ar / leveza / respiracao",baixo,74,"mais sutil que Oxoryn"
16,Radoryn,7,3,"latim: radiare","radiante / luz / energia (curta)",baixo,74,"variante mais curta do Radieryn"
17,Kelnoryn,8,3,"fisica: kelvin","precisao / energia",baixo,72,"mais frio/tecnico do grupo"
18,Ioneryn,7,3,"fisica: ion","energia / carga eletrica",baixo,71,"o mais abstrato do grupo"
19,Tervoryn,8,3,"latim: terra","escala / grandiosidade (variante)",baixo,70,"variante do Terveryn, redundante"
20,Duju,4,2,"invencao fonetica pura","sem significado de dicionario - som ritmico",baixo,68,"registro mais ludico/energetico (estilo TikTok), o que menos comunica sozinho"
