rank,nome,score_final_100,score_memorabilidade,score_fonetica,score_neutralidade,score_visual,score_originalidade,score_escalabilidade,score_disponibilidade,risco_verificacao,observacao_chave
1,Duravia,76.0,7,7,8,7,8,8,9,baixo,"blend durar+via; sem colisão relevante; comunica longevidade pela jornada"
2,Kairoa,71.5,7,7,7,7,8,8,6,medio,"kairos=momento certo; colisão apenas com cervejaria (setor não relacionado)"
3,Cosmora,71.0,7,8,7,8,7,7,5,medio,"soa premium; já existe app de tarot com mesmo nome (categoria de consumo diferente)"
4,Sofira,71.0,7,8,7,7,7,7,6,medio,"sabedoria; colisão com imobiliária/consultoria (setor não relacionado)"
5,Branora,71.0,6,7,7,7,7,8,9,baixo,"corvo/sabedoria/jornada; sem colisão relevante encontrada"
6,Fionara,70.5,6,6,7,7,8,8,9,baixo,"sabedoria desde jovem; forte fit multigeracional; sem colisão relevante"
7,Kaelis,70.0,7,8,7,7,7,7,5,medio,"curto e moderno; colisão com empresa de produtos para aviação (setor distante)"
8,Merisa,68.5,7,8,7,6,6,6,7,baixo,"memória/dados; uso majoritário como nome de bebê, risco baixo"
9,Vakora,67.0,6,7,6,7,8,7,6,medio,"vigília/atenção preventiva; colisão com e-commerce indiano"
10,Aevora,67.0,6,7,7,7,7,8,5,medio,"era/continuidade; colisão com empresas de cibersegurança/CRM"
11,Ravora,67.0,6,7,7,7,7,7,6,medio,"corvo/sabedoria; colisão com startup pequena/recente na Índia"
12,Solvenne,66.5,6,7,7,6,6,7,8,baixo,"evoca 'resolver'; sem correspondência exata (grafia próxima a 'Solvenna')"
13,Torcis,65.5,6,7,6,6,7,6,8,baixo,"força/status; sem colisão relevante; atenção a leitura de 'torcicolo/torcer' em PT"
14,Darava,65.0,6,7,7,6,7,6,6,medio,"colisão com consultorias pequenas (Reino Unido/EUA), fora do setor de saúde"
15,Belora,64.5,6,8,7,6,6,6,5,medio,"colisão com marca de cosméticos financiada (setor de consumo distinto)"
16,Kelara,63.5,6,7,7,6,6,6,6,medio,"colisão com marca de calçados e consultoria (setor não relacionado)"
17,Solvara,63.5,6,7,7,6,6,7,5,medio,"resolver; colisão com empresas de tecnologia geral, uma delas app de journaling"
18,Sorenta,63.5,6,7,7,6,6,6,6,medio,"colisão com comparador financeiro no Reino Unido"
19,Draumis,63.0,6,6,4,6,8,6,9,baixo,"sonho; sem colisão relevante, mas atenção: soa próximo de 'trauma' em PT/EN/ES"
20,Ljosa,61.0,6,6,5,6,7,6,7,baixo,"luz; grafia 'lj' pode gerar dúvida de pronúncia; colisão mínima (empresa pequena não relacionada)"
