nome,metodo,silabas,origem_referencia,observacao
Aion,raiz_grega,2,"grego 'aion' = eternidade/era/ciclo de vida",continuidade e ciclos
Aiona,raiz_grega,3,"grego 'aion' + sufixo -a",variante feminina de Aion
Nyxen,raiz_grega,2,"grego 'nyx'",curto
Skopa,raiz_grega,2,"grego 'skopein' = observar",monitoramento
Novum,raiz_latina,2,"latim 'novus' = novo",inovacao continua
Itera,raiz_latina,3,"latim 'iter'",curto
Aevon,raiz_latina,2,"latim 'aevum'",curto
Viora,raiz_latina,3,"latim 'via'",variante suave
Dyeva,proto_indo_europeu,2,"PIE *dyeu- = brilhar/ceu diurno",luz/dia
Oriva,proto_indo_europeu,3,"PIE *h3er-",variante
Ljosa,raiz_nordica,2,"nordico antigo 'ljos' = luz",clareza
Ogmis,raiz_celta,2,"celta 'ogma'",curto
Nevis,raiz_celta,2,"celta (curto, evocando 'Ben Nevis')",altura/pico pessoal
Lugis,raiz_celta,2,"celta 'lugh'",curto
Auren,fonetica_moderna,2,"invencao fonetica (evoca 'aurum'=ouro)",premium
Elyra,fonetica_moderna,2,"invencao fonetica (evoca lira/harmonia)",harmonia de dados
Ardis,raiz_celta,2,"gaelico 'ard'",curto
