id,nome_taco,aliases,fonte,categoria_consumo_CONFIRMADA,unidade_medida_CONFIRMADA,medida_padrao_nome_CONFIRMADA,medida_padrao_qtd_CONFIRMADA,calorias_100g,proteinas_g_100g,carboidratos_g_100g,gorduras_g_100g,REVISADO_POR_FUNDADOR,DATA_REVISAO,NOTAS
,,,"","","","","",,,,,"N","","INSTRUÇÕES: Este CSV rastreia alimentos ÓRFÃOS (sem medidas caseiras cadastradas) que precisam de categorização"
,,,"","","","","",,,,,"N","","Coluna REVISADO_POR_FUNDADOR: 'S' = validado e pronto para migration, 'N' = pendente, 'D' = descartado/sem sentido"
,,,"","","","","",,,,,"N","","Coluna categoria_consumo_CONFIRMADA: 'unidade', 'fatia', 'peso_livre', 'liquido_frio', 'liquido_quente'"
,,,"","","","","",,,,,"N","","Se 'unidade' ou 'fatia': preencher medida_padrao_qtd em gramas (ex: 5 para azeitona, 20 para presunto)"
,,,"","","","","",,,,,"N","","Se 'liquido_*': preencher medida_padrao_qtd em ml (ex: 200 para xícara, 250 para copo médio)"
,,,"","","","","",,,,,"N","","",""
,,,"","","","","",,,,,"S","2026-08-02","✅ JÁ CATEGORIZADO — Alimentos com categoria_consumo definida (não editar)"
"1","Arroz, branco, cozido","[arroz]","taco","peso_livre","g","Porção padrão","100","128","2.5","28.1","0.2","S","2026-08-02","Seed inicial, peso padrão 100g"
"2","Feijão, carioca, cozido","[feijao]","taco","peso_livre","g","Porção padrão","100","76","4.8","13.6","0.5","S","2026-08-02","Seed inicial, peso padrão 100g"
"3","Carne, bovina, contrafilé, grelhado","[bife]","taco","peso_livre","g","Porção média","100","247","32.7","0","12.6","S","2026-08-02","Seed inicial, porção média 100g"
"4","Ovo, de galinha, frito","[ovo]","taco","unidade","g","Unidade","50","197","13.5","0.9","15.8","S","2026-08-02","Seed inicial, ovo médio ~50g"
"5","Alface, lisa, crua","[alface]","taco","peso_livre","g","Porção padrão","50","11","1.1","1.7","0.2","S","2026-08-02","Seed inicial, folhas em xícara ~50g"
"6","Pão de queijo","[pao_queijo]","taco","unidade","g","Unidade","30","324","10.5","29.0","18.0","S","2026-08-02","Pão de queijo típico ~30g"
"7","Azeitona, preta","[azeitona]","taco","unidade","g","Unidade","5","265","1.7","7.0","26.8","S","2026-08-02","Azeitona unitária, TACO validado"
"8","Presunto","[presunto]","taco","fatia","g","Fatia","20","144","25.0","1.0","5.0","S","2026-08-02","Fatia típica de presunto laticinado"
"9","Queijo meia cura","[queijo]","taco","fatia","g","Fatia","30","298","26.0","1.0","23.0","S","2026-08-02","Fatia típica de queijo meia cura"
"10","Coxinha","[coxinha]","usda","unidade","g","Unidade","100","280","12.0","20.0","16.0","S","2026-08-02","Coxinha de frango frita, típica ~100g"
"11","Pastel","[pastel]","usda","unidade","g","Unidade","100","280","10.0","25.0","16.0","S","2026-08-02","Pastel frito, porção típica ~100g"
"12","Café, coado","[cafe]","taco","liquido_quente","ml","Xícara padrão","200","2","0.2","0","0","S","2026-08-02","Xícara padrão de café brasileiro ~200ml"
"13","Chá, coado","[cha]","taco","liquido_quente","ml","Xícara padrão","200","1","0","0","0","S","2026-08-02","Xícara de chá sem açúcar ~200ml"
"14","Suco de laranja, natural","[suco]","taco","liquido_frio","ml","Copo médio","250","44","0.7","10.4","0.2","S","2026-08-02","Suco fresco, copo vidro ~250ml"
"15","Refrigerante, cola","[refrigerante]","usda","liquido_frio","ml","Copo médio","250","41","0","10.5","0","S","2026-08-02","Refrigerante normal, copo médio ~250ml"
"16","Leite, integral","[leite]","taco","liquido_frio","ml","Copo pequeno","200","61","3.3","4.8","3.3","S","2026-08-02","Leite integral, copo pequeno ~200ml"
,,,"","","","","",,,,,"N","","",""
,,,"","","","","",,,,,"N","","⏳ PENDENTES — Alimentos ainda sem revisão (use este espaço para preencher novos)"
,,,"","","","","",,,,,"N","","Formato: copie linha acima, preencha nome_taco e aliases, deixe categoria vazia, marque como 'N' em REVISADO"
"","[NOVO ALIMENTO AQUI]","[aliases_aqui]","taco","","","","",,,,"","N","2026-08-02","Preencher dados nutricionais conforme TACO/USDA"
"","[NOVO ALIMENTO AQUI]","[aliases_aqui]","taco","","","","",,,,"","N","2026-08-02","Preencher dados nutricionais conforme TACO/USDA"
"","[NOVO ALIMENTO AQUI]","[aliases_aqui]","taco","","","","",,,,"","N","2026-08-02","Preencher dados nutricionais conforme TACO/USDA"
