nome,metodo,silabas,origem_referencia,observacao
Aion,raiz_grega,2,"grego 'aion' = eternidade/era/ciclo de vida",continuidade e ciclos
Aiona,raiz_grega,3,"grego 'aion' + sufixo -a",variante feminina de Aion
Aionis,raiz_grega,3,"grego 'aion' + sufixo -is",variante
Chronara,raiz_grega,3,"grego 'chronos' = tempo",tempo/progressao
Chronis,raiz_grega,2,"grego 'chronos'",forma curta
Heliara,raiz_grega,3,"grego 'helios' = sol",energia/vitalidade simbolica
Heliona,raiz_grega,3,"grego 'helios'",variante
Astera,raiz_grega,3,"grego 'aster' = estrela",orientacao/guia
Asteron,raiz_grega,3,"grego 'aster'",variante
Astrion,raiz_grega,3,"grego 'astron'",variante tech
Cosmora,raiz_grega,3,"grego 'kosmos' = ordem/universo",organizacao da vida
Cosmion,raiz_grega,3,"grego 'kosmos'",variante
Nyxora,raiz_grega,3,"grego 'nyx' = noite",ciclo dia/noite (sono)
Nyxen,raiz_grega,2,"grego 'nyx'",curto
Sofira,raiz_grega,3,"grego 'sophia' = sabedoria",inteligencia
Sofion,raiz_grega,3,"grego 'sophia'",variante
Aretia,raiz_grega,3,"grego 'arete' = excelencia",qualidade/performance
Aretis,raiz_grega,2,"grego 'arete'",curto
Poliara,raiz_grega,3,"grego 'poly' = muitos",abrangencia de dados
Telara,raiz_grega,3,"grego 'tele' = distancia",monitoramento remoto
Phosara,raiz_grega,3,"grego 'phos' = luz",clareza/insight
Photeon,raiz_grega,3,"grego 'phos/photos'",variante tech
Aerona,raiz_grega,3,"grego 'aero' = ar",respiracao/leveza
Aerion,raiz_grega,3,"grego 'aero'",variante
Atlara,raiz_grega,3,"grego 'atlas' = sustentar",suporte continuo
Kairoa,raiz_grega,3,"grego 'kairos' = momento certo",decisao no momento certo
Kairen,raiz_grega,2,"grego 'kairos'",curto
Thallora,raiz_grega,3,"grego 'thallo' = brotar/crescer",crescimento continuo
Thallon,raiz_grega,2,"grego 'thallo'",curto
Elpira,raiz_grega,3,"grego 'elpis' = esperanca",otimismo
Elpion,raiz_grega,3,"grego 'elpis'",variante
Nostoa,raiz_grega,3,"grego 'nostos' = retorno/jornada",jornada de vida
Orbeon,raiz_grega,3,"grego 'orbis/kyklos' hibrido",ciclo continuo
Zenthora,raiz_grega,3,"grego 'zenith'-like coined",auge/potencial maximo
Skopa,raiz_grega,2,"grego 'skopein' = observar",monitoramento
Skopion,raiz_grega,3,"grego 'skopein'",variante
Metrona,raiz_grega,3,"grego 'metron' = medida",dados/metricas
Metrys,raiz_grega,2,"grego 'metron'",curto
Ethora,raiz_grega,3,"grego 'ethos' = carater",identidade
Doxara,raiz_grega,3,"grego 'doxa' = crenca/reputacao",confianca
Praxora,raiz_grega,3,"grego 'praxis' = pratica/acao",acao concreta
Genara,raiz_grega,3,"grego 'genos' = origem/geracao",geracoes/heranca
Genoris,raiz_grega,3,"grego 'genos'",variante
Panora,raiz_grega,3,"grego 'pan' = todo",visao completa
Panoris,raiz_grega,3,"grego 'pan'",variante
Ourania,raiz_grega,4,"grego 'ouranos' = ceu",amplitude/expansao
Selenoa,raiz_grega,4,"grego 'selene' = lua",ciclos naturais
Aionara,raiz_grega,4,"grego 'aion' + sufixo longo",variante premium
Novum,raiz_latina,2,"latim 'novus' = novo",inovacao continua
Novara,raiz_latina,3,"latim 'novus'",variante
Terrana,raiz_latina,3,"latim 'terra' = terra",base/fundamento
Terrona,raiz_latina,3,"latim 'terra'",variante
Lumeva,raiz_latina,3,"latim 'lumen' = luz",clareza
Lumora,raiz_latina,3,"latim 'lumen'",variante
Iterum,raiz_latina,3,"latim 'iter' = jornada/caminho",jornada de vida
Itera,raiz_latina,3,"latim 'iter'",curto
Iterna,raiz_latina,3,"latim 'iter' + eterno hibrido",jornada continua
Origora,raiz_latina,3,"latim 'origo' = origem",inicio/nascimento
Domusa,raiz_latina,3,"latim 'domus' = lar",familia/casa
Civara,raiz_latina,3,"latim 'civis' = cidadao",comunidade
Cursora,raiz_latina,3,"latim 'cursus' = trajetoria",trajetoria de vida
Cursis,raiz_latina,2,"latim 'cursus'",curto
Aevora,raiz_latina,3,"latim 'aevum'",variante mais segura
Aevon,raiz_latina,2,"latim 'aevum'",curto
Sperana,raiz_latina,3,"latim 'spero' = esperar/esperanca",confianca no futuro
Solvara,raiz_latina,3,"latim 'solvere' = resolver",solucao
Veraxa,raiz_latina,3,"latim 'verax' = verdadeiro",precisao
Amplora,raiz_latina,3,"latim 'amplus' = amplo",visao ampla
Mensara,raiz_latina,3,"latim 'mens' = mente",cognicao
Mentoa,raiz_latina,3,"latim 'mens'",variante
Plenora,raiz_latina,3,"latim 'plenus' = pleno",plenitude
Plenexa,raiz_latina,3,"latim 'plenus'",variante tech
Duraxis,raiz_latina,3,"latim 'durare' = durar",durabilidade/longevidade sem usar raiz proibida
