nome,motivo_eliminacao
Bioma,"contem raiz proibida 'bio'"
Genvida,"contem raiz proibida 'vida' (=life/vita)"
Vidatra,"contem raiz proibida 'vida' (=life/vita)"
Physara,"conotacao medica excessiva (physis/corpo)"
Corpora,"conotacao medica excessiva (corpus/corpo)"
Kinoa,"conotacao esportiva excessiva (kinesis/movimento fisico)"
Movexa,"conotacao esportiva excessiva"
Movara,"conotacao esportiva excessiva"
Wegora,"conotacao esportiva/movimento fisico excessiva"
Vegora,"conotacao esportiva/movimento fisico excessiva"
Nutriva,"conotacao medica/nutricional clinica excessiva"
Fortiva,"colisao - proximo de Fortis Healthcare (rede hospitalar global real)"
Fortora,"colisao - proximo de Fortis Healthcare (rede hospitalar global real)"
Vigora,"colisao grave - nome de medicamento real (disfuncao eretil) e soa como marca farmaceutica conhecida"
Renova,"colisao - marca real conhecida (papel higienico Renova PT; creme dermatologico Renova aprovado por orgao regulador)"
Renovis,"colisao - deriva da raiz 'Renova' ja colidente"
Continua,"literal demais e colide com 'Continua Health Alliance' (padrao real de interoperabilidade em saude)"
Continova,"contem substring 'continua', mesma colisao"
Aeviva,"muito proximo de 'viva' (=alive/life), risco de leitura como raiz proibida"
Amparra,"muito proximo de 'amparo' (=guardian/proteger), raiz proibida por analogia"
Zelavia,"muito proximo de 'zelo' (=care), raiz proibida por analogia"
Cuanara,"muito proximo de 'cuan'=refugio (=care/guardian), raiz proibida por analogia"
Servana,"muito proximo de 'servir' (=care/servico), raiz proibida por analogia"
Sionna,"conotacao negativa - soa como 'sayonara' (despedida/final) em ingles coloquial"
Sionara,"conotacao negativa - soa como 'sayonara' (despedida/final)"
Ombrisa,"conotacao negativa - 'ombra'=sombra em italiano/proximo ao portugues"
Ombrix,"conotacao negativa - 'ombra'=sombra"
Fenrika,"conotacao mitologica negativa (Fenrir=lobo destruidor na mitologia nordica) + dificil pronuncia"
Toregn,"colisao com nome de divindade (Thor) + cluster consonantal dificil"
Skodda,"pouco memoravel, imagem vaga (neblina leve), fraco posicionamento"
Bylgja,"dificil pronuncia (cluster 'lgj'), viola regra de pronuncia simples"
Aldrin,"colisao com nome proprio famoso (Buzz Aldrin), risco de confusao de identidade"
Novalis,"colisao - pseudonimo literario conhecido e dispositivo medico real registrado (Novalis Radiosurgery)"
Quirona,"colisao medica - Chiron Corporation (biotech real) e mitologia do curador ferido"
Vesalis,"colisao - Vesalius (figura medica historica) e empresa quimica Versalis"
Compassa,"colisao - familia de marcas 'Compass' amplamente usada globalmente"
Ledgera,"colisao - muito proximo de 'Ledger', marca global de carteira cripto"
Anchora,"colisao - muito proximo de 'Anchor', produto da Spotify (concorrente listado)"
Verita,"colisao - muito proximo de 'Veritas Technologies', empresa global de dados"
Origem,"palavra comum literal em portugues, sem distintividade de marca"
Aveline,"soa como nome proprio de pessoa/personagem, nao como marca de plataforma tech"
Genthis,"redundante - som quase identico a Genara/Genoris/Genthora ja mantidos"
Genexa,"redundante - cluster 'gen' excessivo no conjunto"
Genvora,"redundante - cluster 'gen' excessivo no conjunto"
Denora,"redundante - som muito parecido a outros candidatos terminados em -ora"
Falora,"redundante - som muito parecido a outros candidatos"
Novira,"redundante - cluster 'nov' ja coberto por Novum/Novara/Novexa/Renovix"
Menthora,"redundante - cluster 'mente' ja coberto por Mensara/Mentoa"
Rendava,"fraco/generico demais, baixa distintividade"
Amvora,"fraco/generico demais, baixa distintividade"
Denvira,"redundante com Denvara, mantido apenas um"
Fenora,"redundante - som muito parecido a outros candidatos"
Merova,"fraco/generico demais, baixa distintividade"
Zolvira,"redundante com Sovira, mantido apenas um"
Malvira,"redundante - som muito parecido a outros candidatos"
Rennova,"redundante - cluster 'renov' ja removido por colisao"
Wenlira,"redundante - som muito parecido a outros candidatos"
Norvenn,"colisao - proximo de 'Nord' (NordVPN, Nordstrom)"
Saganna,"colisao - raiz 'saga' muito usada comercialmente (Saga Insurance e outras)"
Corpula,"conotacao medica excessiva (corpo/corpus)"

