rank,nome,nota_geral_100,pronuncia_pt,pronuncia_en,pronuncia_es,memorabilidade,forca_visual,originalidade,escalabilidade,potencial_internacional,risco_juridico,alerta_conselho
1,Duravia,88,facil,facil,facil,7,8,8,9,alto,baixo,"nenhum alerta relevante"
2,Cosmora,79,facil,facil,facil,7,9,7,8,alto,medio,"colisao com app de tarot ja publicado (categoria de consumo diferente)"
3,Kairoa,78,facil,facil,facil,7,8,8,8,alto,medio,"colisao com cervejaria (setor nao relacionado); conceito 'kairos' pouco conhecido do publico leigo"
4,Branora,74,facil,facil,facil,6,7,8,8,alto,baixo,"nenhum alerta relevante"
5,Kaelis,73,facil,facil,facil,7,8,7,8,alto,medio,"colisao com fornecedora B2B de aviacao/ferrovias (setor distante)"
6,Solvenne,72,media,facil,media,6,7,7,7,medio,baixo,"raiz 'solve' e mais generica/tendencia SaaS; posicionamento de continuidade fica mais fraco"
7,Aevora,70,facil,facil,facil,6,7,7,7,medio,medio,"colisao com empresas de ciberseguranca/CRM (setor distante)"
8,Sofira,68,facil,facil,facil,6,6,7,6,medio,medio,"risco de soar como nome proprio (Sofia/Sophia), diluindo percepcao de marca de plataforma"
9,Ravora,68,facil,facil,facil,6,7,7,7,medio,medio,"colisao com startup pequena e recente na India"
10,Fionara,66,facil,facil,facil,6,7,8,7,medio,baixo,"risco de associacao com o nome 'Fiona' (personagem global de Shrek), podendo soar infantil"
11,Merisa,65,facil,facil,facil,6,6,6,6,medio,baixo,"risco de soar como nome proprio (Marisa), diluindo percepcao de marca de plataforma"
12,Darava,64,facil,facil,facil,6,6,7,6,medio,medio,"colisao com consultorias pequenas (Reino Unido/EUA)"
13,Kelara,63,facil,facil,facil,6,6,6,6,medio,medio,"colisao com marca de calcados e consultoria (setor distante)"
14,Solvara,61,media,facil,media,6,6,6,7,medio,medio,"colisao com app de journaling (bem-estar mental, categoria adjacente)"
15,Belora,60,facil,facil,facil,6,6,6,6,medio,medio,"colisao com marca de cosmeticos financiada; risco de leitura como marca de beleza, nao de saude"
16,Vakora,58,dificil,media,dificil,6,7,7,6,baixo,medio,"ALERTA: primeira silaba soa como 'vaca' em portugues — risco relevante no mercado brasileiro"
17,Torcis,58,media,facil,media,5,6,6,6,medio,baixo,"ALERTA: pode soar como 'torcicolo' ou 'torcer' em portugues, gerando associacao ambigua"
18,Sorenta,55,media,dificil,media,5,6,6,6,baixo,medio,"ALERTA: soa muito proximo de 'Sorento', nome de modelo de SUV da Kia, com forte associacao pre-existente"
19,Ljosa,54,dificil,dificil,dificil,5,6,7,5,baixo,baixo,"ALERTA: grafia 'lj' viola a regra de pronuncia simples; dificil de pronunciar/escrever de oitiva"
20,Draumis,52,media,dificil,media,6,6,8,6,baixo,baixo,"ALERTA CRITICO: soa foneticamente proximo de 'trauma' em PT/EN/ES — associacao negativa grave para marca de saude"
