nome,metodo,significado_chave,score_memorabilidade,score_fonetica,score_posicionamento,score_originalidade,score_medio,observacao
Kairoa,raiz_grega,"momento certo (kairos)",7,7,9,8,7.75,"conceito de saude preventiva = agir no momento certo"
Duravia,blend_fonemas,"durar + via = jornada duradoura",7,7,9,8,7.75,"sem usar raizes proibidas, comunica longevidade pela jornada"
Cosmora,raiz_grega,"ordem/universo (kosmos)",7,8,8,7,7.50,"soa premium e organizado"
Sofira,raiz_grega,"sabedoria (sophia)",7,8,7,7,7.25,"elegante, remete a inteligencia"
Vakora,raiz_nordica,"vigilia/atencao (vaka)",6,7,8,8,7.25,"fit forte com prevencao/atencao continua"
Kaelis,raiz_celta,"esbelto/moderno (caol)",7,8,7,7,7.25,"curto, moderno, neutro"
Aevora,raiz_latina,"era/idade (aevum)",6,7,8,7,7.00,"continuidade sem soar clinico"
Merisa,proto_indo_europeu,"memoria (raiz *mer-)",7,8,7,6,7.00,"remete a dados/memoria pessoal"
Fionara,raiz_celta,"sabedoria desde jovem (fionn)",6,6,8,8,7.00,"narrativa forte de crescimento ao longo da vida"
Branora,raiz_celta,"corvo/sabedoria/jornada (bran)",6,7,8,7,7.00,"jornada + inteligencia"
Draumis,raiz_nordica,"sonho (draumr)",6,6,7,8,6.75,"aspiracional, um pouco abstrato"
Ravora,raiz_nordica,"corvo/sabedoria (hrafn)",6,7,7,7,6.75,"memoria/inteligencia"
Darava,raiz_celta,"carvalho/forca (dair)",6,7,7,7,6.75,"longevidade simbolica (carvalho) sem raiz proibida"
Kelara,proto_indo_europeu,"crescer/elevar (*kel-)",6,7,7,6,6.50,"crescimento continuo"
Solvara,raiz_latina,"resolver (solvere)",6,7,7,6,6.50,"remete a solucao de problemas de saude"
Belora,proto_indo_europeu,"brilhar (*bhel-)",6,8,6,6,6.50,"clareza, mas generico"
Torcis,raiz_celta,"forca/status (torc)",6,7,6,7,6.50,"curto, forte, pouco obvio"
Sorenta,fonetica_moderna,"invencao (evoca serenidade)",6,7,7,6,6.50,"confianca/calma"
Solvenne,ingles_metaforico,"evoca solve=resolver",6,7,7,6,6.50,"solucao de problemas, facil"
Thallora,raiz_grega,"brotar/crescer (thallo)",6,5,8,8,6.25,"otima narrativa mas 'th' e mais dificil em PT/ES"
Ljosa,raiz_nordica,"luz (ljos)",6,6,6,7,6.25,"curto, mas grafia 'lj' pode confundir pronuncia"
Heimora,raiz_nordica,"mundo/lar (heimr)",6,6,7,6,6.25,"pertencimento global"
Vaelis,fonetica_moderna,"invencao fonetica suave",6,7,6,6,6.25,"agradavel, generico"
Ghelan,proto_indo_europeu,"brilhar/dourado (*ghel-)",6,5,6,7,6.00,"cluster 'gh' menos intuitivo para leigos"
