nome,metodo,silabas,origem_referencia,observacao
Aionis,raiz_grega,3,"grego 'aion' + sufixo -is",variante
Astera,raiz_grega,3,"grego 'aster' = estrela",orientacao/guia
Nyxora,raiz_grega,3,"grego 'nyx' = noite",ciclo dia/noite (sono)
Sofira,raiz_grega,3,"grego 'sophia' = sabedoria",inteligencia
Sofion,raiz_grega,3,"grego 'sophia'",variante
Aretia,raiz_grega,3,"grego 'arete' = excelencia",qualidade/performance
Aretis,raiz_grega,2,"grego 'arete'",curto
Telara,raiz_grega,3,"grego 'tele' = distancia",monitoramento remoto
Aerona,raiz_grega,3,"grego 'aero' = ar",respiracao/leveza
Aerion,raiz_grega,3,"grego 'aero'",variante
Atlara,raiz_grega,3,"grego 'atlas' = sustentar",suporte continuo
Kairoa,raiz_grega,3,"grego 'kairos' = momento certo",decisao no momento certo
Kairen,raiz_grega,2,"grego 'kairos'",curto
Elpira,raiz_grega,3,"grego 'elpis' = esperanca",otimismo
Elpion,raiz_grega,3,"grego 'elpis'",variante
Nostoa,raiz_grega,3,"grego 'nostos' = retorno/jornada",jornada de vida
Orbeon,raiz_grega,3,"grego 'orbis/kyklos' hibrido",ciclo continuo
Metrys,raiz_grega,2,"grego 'metron'",curto
Ethora,raiz_grega,3,"grego 'ethos' = carater",identidade
Doxara,raiz_grega,3,"grego 'doxa' = crenca/reputacao",confianca
Genara,raiz_grega,3,"grego 'genos' = origem/geracao",geracoes/heranca
Panora,raiz_grega,3,"grego 'pan' = todo",visao completa
Novara,raiz_latina,3,"latim 'novus'",variante
Lumeva,raiz_latina,3,"latim 'lumen' = luz",clareza
Lumora,raiz_latina,3,"latim 'lumen'",variante
Iterum,raiz_latina,3,"latim 'iter' = jornada/caminho",jornada de vida
Iterna,raiz_latina,3,"latim 'iter' + eterno hibrido",jornada continua
Domusa,raiz_latina,3,"latim 'domus' = lar",familia/casa
Civara,raiz_latina,3,"latim 'civis' = cidadao",comunidade
Cursis,raiz_latina,2,"latim 'cursus'",curto
Aevora,raiz_latina,3,"latim 'aevum'",variante mais segura
Veraxa,raiz_latina,3,"latim 'verax' = verdadeiro",precisao
Mentoa,raiz_latina,3,"latim 'mens'",variante
Viaxis,raiz_latina,3,"latim 'via' = caminho",caminho/trajetoria
Novexa,raiz_latina,3,"latim 'novus'",inovacao
Merisa,proto_indo_europeu,3,"PIE *mer- = brilhar/lembrar (raiz de 'memoria')",memoria/dados
Kelara,proto_indo_europeu,3,"PIE *kel- = elevar/crescer",crescimento
Verano,proto_indo_europeu,3,"PIE *wes-r- = primavera/renovacao",renovacao sazonal
Verasa,proto_indo_europeu,3,"PIE *wes-r-",variante
Belora,proto_indo_europeu,3,"PIE *bhel- (simplificado)",clareza (grafia simples)
Ghelan,proto_indo_europeu,2,"PIE *ghel- = brilhar/dourado",premium/brilho
Kreova,proto_indo_europeu,3,"PIE *ker- = crescer",crescimento
Menora,proto_indo_europeu,3,"PIE *men- = pensar/mente",cognicao
Pleova,proto_indo_europeu,3,"PIE *pele- = encher/abundancia",plenitude
Oriwen,proto_indo_europeu,2,"PIE *h3er- = mover-se/erguer",origem/nascer
Dheora,proto_indo_europeu,3,"PIE *dhe- = colocar/estabelecer",fundacao
Nemora,proto_indo_europeu,3,"PIE *nem- = distribuir/atribuir",organizacao de dados
Yugara,proto_indo_europeu,3,"PIE *yeug- = unir (origem de 'jugo/join')",conexao entre dados
Alvara,raiz_nordica,3,"nordico antigo 'alfr' = ser luminoso",clareza/energia
Alvenn,raiz_nordica,2,"nordico antigo 'alfr'",curto
Drauma,raiz_nordica,2,"nordico antigo 'draumr'",variante
Runava,raiz_nordica,3,"nordico antigo 'run' = saber secreto/simbolo",inteligencia de dados
Runora,raiz_nordica,3,"nordico antigo 'run'",variante
